Country	Coal	Oil	Gas	Gas flaring	Cement
China	6839.7702	1264.8356	329.455	0	1245.76
USA	1730.6229	2280.2022	1451.876	13.0968	38.9645
India	1934.3586	453.5116	72.8206	2.0775	133.9441
Russian Federation	358.4639	326.5141	821.2987	36.5943	29.3576
Japan	438.9679	486.5223	266.0934	0.031228	26.5534
Germany	346.4248	255.3344	168.1061	0.40664	12.4528
Indonesia	321.8331	216.8419	72.5128	9.5374	19.8264
Iran	4.0657	236.3492	307.3668	33.412	34.5415
Saudi Arabia	0	382.4539	188.0931	0	31.3946
South Korea	308.8649	168.5274	98.2342	0	23.7949
Canada	88.1792	235.7484	210.5019	4.6636	6.2868
Brazil	63.3248	329.517	74.9525	3.6164	35.8793
South Africa	395.4229	65.9235	9.035	0	5.7611
Mexico	29.7088	257.5316	144.1373	7.819	17.4392
United Kingdom	111.4974	164.3909	142.4235	3.2573	3.7155
Australia	177.1989	121.5439	68.3299	3.0109	3.5182
Turkey	146.2262	89.5806	96.8241	0.10119	35.6075
Thailand	71.572	157.4213	87.2931	0	20.9713
France	38.0367	198.1387	80.4044	0.44922	7.5015
Italy	52.6222	138.9975	123.2604	0.31761	6.7143
Poland	203.734	60.1918	32.2014	0	6.3843
Taiwan	144.5749	69.3203	37.7108	0	7.8766
Malaysia	66.4049	82.0415	76.3533	16.8068	9.959
Egypt	5.8342	112.6224	93.7205	0	25.269
Spain	47.559	124.5006	54.4262	0.42176	8.7542
Ukraine	120.4939	30.7738	76.5329	0.22149	3.2171
Venezuela	0.77775	124.643	59.586	17.8583	3.8065
Kazakhstan	135.0486	37.0841	28.5217	2.4061	2.1864
Argentina	6.1735	94.8363	95.5671	0	5.3415
United Arab Emirates	6.5116	50.478	131.3254	1.8906	8.0005
Viet Nam	86.9441	57.6405	19.6003	0	30.2685
Pakistan	18.9915	63.5971	69.143	0	15.9457
Netherlands	34.7942	48.8412	68.2633	0.05914	0.30809
Algeria	0.60207	53.3839	76.4121	6.9323	9.9661
Iraq	0	101.8917	12.6633	18.4885	3.9864
Uzbekistan	10.2022	8.9648	98.1485	0	3.5412
Czech Republic	63.8234	23.2301	14.5766	0.01199	1.517
Kuwait	0	61.4813	38.8138	0.4177	1.1212
Qatar	0	18.7181	77.7081	1.0736	2.1925
Philippines	39.0446	43.4727	6.9909	0	9.3845
Belgium	16.8317	46.0856	31.9251	0.09202	2.6426
Nigeria	0.11338	41.3382	17.2486	27.447	7.4079
Chile	24.5249	45.2901	9.3002	0.058624	2.3521
Colombia	13.4116	39.631	21.4272	1.3154	5.4452
Greece	34.4415	32.6379	5.49	0.0082762	3.0993
Turkmenistan	0	19.0975	51.3969	0	0.75649
Romania	22.7178	22.982	21.5927	0.20811	3.1503
Oman	0	19.0051	46.6563	1.766	2.3321
Israel	25.4664	24.7945	14.3268	0	2.5999
Bangladesh	4.8103	14.7076	44.7114	0	2.5441
