Country	Coal	Oil	Gas	Gas flaring	Cement
Zimbabwe	2.17972599801	0.515006495514	0.0	0.0	0.105163333589
Trinidad and Tobago		0.129087883733	1.17468484062	0.0	0.00887980012619
Turkmenistan		0.273426192624	0.735869023678	0.0	0.0108309559083
Libya	0.0	0.63585690839	0.214447824208	0.0563110062583	0.0191936453539
Mongolia	0.693737075575	0.132183879471	0.0	0.0	0.00495081105525
Uzbekistan	0.0699864711984	0.061497982494	0.673292737686	0.0	0.0242924165188
South Africa	0.682098554718	0.113717045907	0.0155852390994	0.0	0.009937810844
Ukraine	0.38200406613	0.0975627540503	0.24263368513	0.000702193892032	0.0101992323358
Bosnia-Herzegovina	0.55568920816	0.145555751211	0.0157524726353	0.0	0.0143836602277
Russian Federation	0.161470279107	0.147078472503	0.369954492821	0.0164839244195	0.013224148557
China	0.45645144499	0.0844086892414	0.0219861495945	0.0	0.0831356808026
Serbia	0.42878109032	0.126917181394	0.0546258725615	0.0	0.0166817362041
Estonia	0.439312628346	0.119268364577	0.0428937363822	0.0	0.0153775837673
Kazakhstan	0.379479552934	0.104204395225	0.0801444958697	0.00676101605136	0.00614367046037
Iran	0.00377144840026	0.219243626496	0.285121387745	0.0309938347516	0.0320415881442
Oman	0.0	0.134145872311	0.329319501729	0.0124651599045	0.0164609283201
Bahrain	0.0	0.0916685303449	0.384883439585	0.0	0.00822899897069
Bulgaria	0.299856456629	0.112428399064	0.0582992854067	2.52714814072e-05	0.0109129883986
Venezuela	0.00169699422374	0.27196200711	0.13001234049	0.0389655184131	0.00830550757013
Viet Nam	0.200186448559	0.132715698801	0.0451291628493	0.0	0.0696924060195
Saudi Arabia	0.0	0.281108688232	0.138250922808	0.0	0.0230754473246
Kuwait		0.249658265141	0.157611923813	0.0016961622046	0.00455287781612
Australia	0.193708883739	0.13286839362	0.0746963364614	0.00329143170781	0.00384599788582
Poland	0.274372163632	0.0810613564691	0.0433661921425	0.0	0.00859784917722
India	0.302962537585	0.0710297589909	0.0114052863644	0.000325381587381	0.02097855301
Czech Republic	0.251258595402	0.0914517605933	0.0573848469642	4.72019754333e-05	0.00597209313864
Canada	0.06535973544	0.174740222801	0.156027141249	0.00345672972989	0.00465986972851
Jamaica	0.0125048724786	0.373623606279	0.0	0.0	0.0180074960824
South Korea	0.207590427807	0.113268536059	0.0660239464026	0.0	0.0159927316785
Thailand	0.0853341477542	0.187690891324	0.104078163155	0.0	0.0250037446599
Macedonia	0.246708790544	0.126732755912	0.0106878611002	0.0	0.0162237819967
Brunei Darussalam	0.0	0.0797974578537	0.293326354587	0.019666176015	0.00470645582663
Malaysia	0.104829624333	0.129514232003	0.120534595423	0.0265319355987	0.0157217047045
Belarus	0.0249600899097	0.0945502146675	0.26008943659	1.37690299288e-05	0.0149508562582
United Arab Emirates	0.012751735505	0.0988516040331	0.257175926944	0.00370238207903	0.0156674642036
Kyrgyzstan	0.138829105869	0.182773243713	0.0345931199082	0.0	0.0204714625388
Cyprus	6.01030234544e-05	0.346023878862	0.000231755822766	0.0	0.0266307011976
USA	0.116980053093	0.154128420708	0.0981383821767	0.000885267587378	0.00263377381562
Qatar		0.0696293042543	0.289065713824	0.00399367569611	0.00815586248484
Jordan	0.0	0.275718555577	0.0325982935329	0.0	0.0360632745771
Montenegro	0.214436573839	0.124509317066	0.0	0.0	0.0
Turkey	0.134299168263	0.0822739021633	0.0889265815417	9.29363741693e-05	0.0327031519244
Greece	0.151655982338	0.143714204838	0.0241740732266	3.64425254714e-05	0.0136471229784
Benin	0.0	0.310627794505	0.0	0.0	0.0225991631374
Algeria	0.00128720992381	0.114133382915	0.163367072631	0.0148210762118	0.0213072613179
Moldova	0.0191587671819	0.146073726414	0.112536086258	0.0	0.0341321378372
Iraq	0.0	0.231530957234	0.0287751207482	0.042011862623	0.00905839246885
Togo	0.0	0.163604592976	0.0	0.0	0.145589811884
Bolivia	0.0	0.141490754062	0.140187496713	0.00338443841498	0.0226827239146
Taiwan	0.170312778475	0.0816610137565	0.0444242474076	0.0	0.009278828005
